id,agent,severity,category,file,function_or_component,user_facing_symptom,measurement_risk,suspected_root_cause,reproduction_steps,recommended_fix,recommended_test,blocks_cohort,status
"K01","checkpoint","high","notification routing","backend/app/services/calendar_sync.py; backend/app/api/v1/endpoints/notifications.py; backend/app/services/notification_queue.py","calendar refresh warning / notifications pending","Technical Google Calendar warning can appear in product alerts if web drains operator queue.","Operator incident text can be misclassified as user-facing exposure.","Shared queue family and /pending defaulting to openclaw.","Force calendar refresh failure for operator, open Today/Pulse, inspect alerts.","Split endpoints or require explicit channel; keep diagnostics operator-only; short Settings warning only if user action needed.","Browser: calendar refresh failure appears in OpenClaw only, not web; Settings reconnect works.","yes","implemented_needs_browser_verify"
"K02","checkpoint","high","timer overflow notification","backend/app/workers/jobs/timer_overflow.py","timer overflow job","Duplicate overflow alerts and raw float/user-hostile reply copy were observed.","Timer overflow intervention lacks exposure accounting and dedupe separation.","User and operator payloads share notification semantics; no output surface registration.","Run timer beyond planned+5; inspect web and operator alerts.","Separate user/operator payloads; stable event ID; output surface render ack; integer formatting.","Backend + browser: one web toast, integer active min, no Reply copy, one operator alert.","yes","copy_and_channel_implemented_surface_registration_open"
"K03","checkpoint","high","reentry stale action","frontend/components/pulse/PulseReentryQueue.tsx; backend/app/utils/tasks_range_cache.py; backend/app/api/v1/endpoints/query.py","missed plan mark done","Re-entry showed mark-done for EXECUTED task then backend rejected.","Stale cards can drive false recovery exposure and user action logs.","Task range/evidence cache not invalidated on state transitions; frontend/backend eligibility drift.","Warm tasks range, execute task elsewhere, return to Pulse, click stale mark done.","Bust range/evidence cache on all state changes; align eligibility; refetch before error.","Browser: executed task never remains in missed-plan queue after transition.","yes","implemented_needs_browser_verify"
"K04","checkpoint","high","parked work stale recovery","backend/app/workers/jobs/stale_session_recovery.py; frontend/components/pulse/PulseReentryQueue.tsx; backend/app/services/stopwatch_manager.py","parked interruption chain","Paused >72h after real overrun was marked skipped/retrospective-done instead of asking for reflection.","Auto-recovered/repaired sessions can pollute execution/recovery measurements.","Paused stale recovery resolved canonical state without user reflection; old row lacked dirty calibration flag.","Seed paused session aged >=72h, open Pulse, resolve with reflection.","72h+ paused sessions show Resolve session; focus/completion/scope required; close at paused_at; set data_quality_flag.","Backend: stale pause resolve endpoint; browser: old parked work opens reflection modal and disappears.","yes","implemented_needs_browser_verify"
"K05","checkpoint","low","quick capture anchor","frontend/components/pulse/PulseQuickCaptureV2.tsx; frontend/components/pulse/PulseTodaysPlanV2.tsx; frontend/components/tutorial-overlay.tsx","Pulse quick capture","Live anchor is correct, but stale tutorial/docs still point brain-dump framing to Today.","Low direct measurement risk; onboarding confusion can reduce capture data quality.","Runtime moved to Pulse; old onboarding/tutorial copy remains.","Open /pulse#quick-capture and inspect scroll; search stale /today brain-dump copy.","Keep runtime as-is; remove/mark stale Today brain-dump tutorial copy.","Browser: route from Today empty state to /pulse#quick-capture scrolls correctly.","no","mostly_ok_runtime_stale_copy_open"
"A1-001","agent1","critical","pressure safe mode","frontend/components/pulse/PulseAcademicPressureMap.tsx; backend/app/services/academic_pressure.py; backend/app/core/kill_switches.py","Pressure Map can show Preview focus blocks in read-only pressure mode.","Read-only/suppressed exposure condition can still mutate tasks.","Frontend derives mutability from pressure items instead of backend recovery options.","Enable LYRA_SAFE_MODE=read_only_pressure; seed pressure item; open Pulse; preview blocks.","Require explicit backend create_plan/split_into_blocks option before preview.","Frontend test: items with recovery_options=[] render no preview/lock-in.","yes","open"
"A1-002","agent1","high","pressure option mismatch","frontend/components/pulse/PulseAcademicPressureMap.tsx; backend/app/services/academic_pressure.py","Card says Confirm coverage but Preview opens recovery plan.","Provider/imported structure can become plan before confirmation.","UI displays first option but action uses later create_plan option.","Seed external deadline with coverage question; click Preview on Confirm coverage card.","Hide plan preview until coverage confirmation or render distinct create-plan card.","Browser: confirm_coverage card cannot commit blocks before confirmation.","yes","open"
"A1-003","agent1","high","brain dump partial failure","frontend/components/pulse/BrainDumpQuickModal.tsx; backend/app/api/v1/endpoints/brain_dump.py","Partial brain-dump failures only show Got it.","Failed messy obligations disappear or require manual retyping.","Backend reports failures; frontend lacks retry/edit affordance.","Commit one valid plus one invalid/past item; inspect failure review.","Add per-failure edit/retry/remove binding actions.","Browser: failed item can be corrected and committed from review.","yes","open"
"A1-004","agent1","high","Pulse stop parity","frontend/components/pulse/PulseFocusCard.tsx; frontend/app/(app)/today/page.tsx; backend/app/schemas/stopwatch.py","Pulse stop asks only FELT, not completion or scope.","Pulse-led sessions miss completion_percentage/scope outcome.","Pulse custom stop flow diverged from Today ReflectionModal.","Start/stop from Pulse; inspect task_completion_percentage null.","Reuse ReflectionModal or add completion/scope fields in Pulse.","Browser: Pulse stop saves 90 percent and scope_outcome.","yes","open"
"A1-005","agent1","medium","recovery conflict UX","frontend/components/pulse/PulseAcademicPressureMap.tsx; frontend/components/new-task-modal.tsx; backend/app/services/conflict_detector.py","Recovery block conflict dead-ends without create anyway.","Dense schedules bias accepted recovery plans downward.","Pressure commit path lacks standard soft-conflict override.","Create planned task overlapping suggested recovery block; lock in plan.","Add row-level force create for soft conflicts.","Browser: retry sends force=true and creates block.","partial","open"
"TSM-01","agent2","high","stale recovery timestamps","backend/app/workers/jobs/stale_session_recovery.py; backend/app/workers/jobs/reconcile_deadline_outcomes.py; backend/app/services/task_manager.py","Recovered stale paused session can become EXECUTED without execution timestamps.","Deadline outcome and correction systems cannot locate execution interval.","Recovery sets state/duration but not executed_start_utc/executed_end_utc.","Age paused session past threshold; run stale recovery.","Set timestamps on recovered EXECUTED rows and mark dirty/auto-closed.","Backend: recovered EXECUTED row has timestamps and clean exclusion.","yes","open"
"TSM-02","agent2","high","forgotten timer recovery","backend/app/workers/jobs/stale_session_recovery.py; backend/app/utils/redis_client.py","Stale paused timers can remain open indefinitely if Redis still marks active.","Open session remains live/recoverable forever; measurements stay incomplete.","Recovery skips active_session_id before stale threshold logic.","Pause task, keep Redis active key, age paused_at >48h, run recovery.","Recover Redis-active paused sessions beyond threshold and clear Redis atomically.","Backend: active Redis stale pause is closed and keys cleared.","yes","open"
"TSM-03","agent2","high","pause duration math","backend/app/services/stopwatch_manager.py","Stop/switch can write negative pause minutes under clock skew.","Negative pause corrupts active duration and pause overhead.","Resume clamps negative pauses; stop/switch/close helper do not share clamp.","Set pause timestamp in future; stop or switch.","Shared clamp helper for resume/stop/switch/close.","Backend: future pause on stop/switch writes non-negative duration.","yes","open"
"TSM-04","agent2","high","task range cache","backend/app/utils/tasks_range_cache.py; backend/app/api/v1/endpoints/query.py; frontend/app/(app)/pulse/page.tsx","Pulse can refetch after transition and still receive stale 60s state.","Stale cards/totals/recovery prompts disagree with stopwatch truth.","Range cache intentionally not busted on state transitions.","Warm range cache; stop timer; refetch range.","Invalidate user ranges on all task/session state mutations.","API/cache: stop busts range; browser: Pulse updates immediately.","yes","open"
"TSM-05","agent2","medium","paused work ordering","backend/app/services/stopwatch_manager.py","Paused candidates can sort oldest first despite most-recent comment.","Old stale parked work promoted over recently parked work.","Sort uses paused_minutes descending and dedupe before deterministic order.","Pause A two hours ago and B five minutes ago; inspect status.","Order by paused_at desc or paused_minutes asc before dedupe.","Backend: two paused candidates order most recent first.","no","open"
