id,agent_area,classification,severity,category,finding,affected_files,quote,status,recommended_action,authority_impact,implementation_allowed
F001,authority,active doctrine,critical,authority hierarchy drift,Manifesto and AUTHORITY both act as top-level governance without a clean delegation path,"MANIFESTO.md; docs/AUTHORITY.md","MANIFESTO.md is the highest-priority governance document; Canonical implementation-governance map",open,"Update Manifesto governance index or explicitly delegate live implementation map to docs/AUTHORITY.md",high,no
F002,authority,active doctrine,high,accidental promotion,current_transition_state includes context docs inside an authority chain,"docs/current_transition_state.md; docs/research_mapping.md; docs/cross_domain_breakthrough_audit_2026_05_20.md","Use these documents as the current authority chain",open,"Split authorizing docs from context docs",high,no
F003,authority,historical,high,stale roadmap,building_phases still calls itself forward-looking phase planning,"docs/building_phases.md; docs/current_transition_state.md; docs/AGENT_HANDOFF.md","single source of truth for forward-looking phase planning; stale April phase planning",resolved,"Resolved in R5a stale authority cleanup: building_phases is historical and current_transition_state carries the active freeze-closure frame.",high,no
F004,authority,historical,high,stale agent doctrine,AGENT_HANDOFF contains stale onboarding instructions while referenced by active chain,"docs/AGENT_HANDOFF.md; docs/current_transition_state.md","Add docs/current_transition_state.md",resolved,"Resolved in R5a stale authority cleanup: AGENT_HANDOFF is historical onboarding context and no longer sits in the governing chain.",medium,no
F005,authority,parked hypothesis,high,parked accidental promotion,root parked ideas contain elevated active design language,"docs/parked_ideas.md; docs/deadline_mechanism_design.md; docs/AUTHORITY.md","STATUS: ELEVATED to active design",open,"Move active entry out or mark archived/implemented/superseded",high,no
F006,authority,historical,high,freeze conflict,deadline design can authorize intervention work conflicting with freeze,"docs/deadline_mechanism_design.md; docs/current_transition_state.md; docs/AUTHORITY.md","implementation reference; do not depart",resolved,"Resolved in R5a stale authority cleanup: deadline_mechanism_design now marks old approval/parser/RCT/bias-factor language historical or parked.",high,no
F007,authority,active doctrine,high,intra-manifesto contradiction,H8 forbids avoidance claims while older H3 product implications allow them,"MANIFESTO.md","Creation-to-Start Latency as Avoidance Index; avoidance latency chip",open,"Add H3 supersession note making H8 governing",high,no
F008,authority,implementation plan,medium,active plan registration,core product loop plan is current but absent from formal authority chain,"docs/core_product_loop_wave_plan.md; docs/current_transition_state.md","Active product-maintenance plan",open,"Register as subordinate implementation guidance",medium,no
F009,product,already implemented,high,current loop absent from public docs,public docs still start with timer/planner framing rather than current brain-dump loop,"docs/core_product_loop_wave_plan.md; frontend/public/lyraos.md; README.md","brain dump -> bind to existing obligations -> pressure/occupancy map",open,"Create one current product-loop source and update derivative docs",medium,no
F010,product,active doctrine,high,public positioning overemphasizes AI,public crawler docs conflict with README's non-wrapper framing,"frontend/public/lyraos.md; frontend/public/llms.txt; README.md","AI-native productivity system; not an AI productivity wrapper",open,"Rewrite around execution-state middleware and confirmation-gated recovery",medium,no
F011,product,already implemented,high,pressure map under-documented generically,pressure map is documented mostly as academic while product frame is global,"docs/core_product_loop_wave_plan.md; docs/academic_pressure_map_contract.md; docs/external_review_quickstart.md","Pressure Map remains a diagnostic planning surface",open,"Create provider-neutral Pressure/Occupancy Map product doc",medium,no
F012,product,historical,medium,brain dump design stale,old onboarding doc no longer reflects Pulse quick-capture and binding behavior,"docs/brain_dump_onboarding_design.md; docs/wave_minus_1_repo_scan_2026_06_01.md; docs/core_product_loop_wave_plan.md","POST /v1/brain-dump/commit -- single transaction",open,"Label historical or rewrite to current Pulse behavior",medium,no
F013,product,active doctrine,medium,recovery docs lag insights docs,insight plans are large while recovery UX is only partly documented,"docs/core_product_loop_wave_plan.md; docs/insight_mechanisms_post_retention.md","Wave 3 is Partially implemented",open,"Prioritize recovery UX docs: missed plan, open threads, actions, copy",low,no
F014,provider,active doctrine,high,provider data becomes truth,Moodle submission or grade can mark canonical deadline completed,"docs/moodle_lms_integration.md; docs/provider_adapter_contract.md","if Moodle reports submission.status='submitted' or any non-null grade, transition the deadline to state='completed'",open,"Use external_submission_trace or completion_candidate unless user-confirmed",high,no
F015,provider,active doctrine,high,unbounded adapter contract,adapter checklist is underspecified for future integrations,"docs/integrations_architecture.md; docs/provider_adapter_contract.md","Every integration must define six things",open,"Make normalized DTO/evidence/trust/redaction/exposure/cross-user checklist mandatory",medium,no
F016,provider,future implementation idea,high,missing provider primitives,active provider contract lacks several provider-blind primitives,"docs/provider_adapter_contract.md; docs/parked/provider_middleware_and_recurring_obligations_plan.md","external_obligation, academic_asset, activity_event",open,"Add terminology registry before new provider work",medium,no
F017,provider,parked hypothesis,medium-high,recurrence assumptions,recurrence rules are parked but import docs discuss ICS expansion,"docs/import_integrations_capability_map.md; docs/parked/provider_middleware_and_recurring_obligations_plan.md; docs/moodle_lms_integration.md","RRULE expansion to infinity -- must cap window",open,"Do not implement recurrence until active contract defines windows, keys, exceptions, timezones",medium,no
F018,provider,active doctrine,medium,provider-specific leakage,generic integration docs are Google-specific in places,"docs/integrations_architecture.md","Google redirects with error=access_denied",open,"Split provider-neutral OAuth/OIDC contract from Google appendix",low,no
F019,provider,active doctrine,medium,academic primitive leakage,core provider primitive uses academic_asset,"docs/provider_adapter_contract.md; docs/academic_pressure_map_contract.md","academic_asset",open,"Rename core primitive to structured_asset/resource_asset with domain subtype",medium,no
F020,provider,historical,medium,legacy import contradiction,VEVENT maps 1:1 to Lyra task despite current truth boundary,"docs/import_integrations_capability_map.md; MANIFESTO.md","VEVENT maps 1:1 to Lyra task",open,"Rewrite as VEVENT -> scheduled_block/external_obligation candidate",medium,no
F021,research,unsupported / speculative,high,archetype identity overclaim,archetype UI copy can sound like validated identity,"frontend/lib/archetype.ts","Procrastinator; Research shows people like you",open,"Use neutral pattern/proximity labels and engineering-prior language",high,no
F022,research,unsupported / speculative,high,psychometric authority leakage,methodology docs overstate validated/clinical status,"docs/methodology.md; docs/strategic_decisions_april_24.md","validated psychometric instruments; clinical-grade personality phenotyping",open,"State scales have lineage but Lyra battery/mapping is not validated",high,no
F023,research,unsupported / speculative,high,causal outcome claim,docs imply Lyra makes users more accurate before evidence,"MANIFESTO.md; README.md","make them more accurate; build more accurate internal models",open,"Rephrase as aim/hypothesis until controlled evidence exists",medium,no
F024,research,unsupported / speculative,high,pitch overclaim,investor line claims prediction of failure,"MANIFESTO.md","We can predict when you'll fail before you start",open,"Move to archive or mark forbidden current pitch copy",high,no
F025,research,active doctrine,high,clean-data conflict,legacy analytics predate Cortex clean-data profile rules,"docs/cortex_contract_v0.md; docs/tightened_docs/07_research_integrity_risks.md","Every Cortex analysis must declare exactly one clean-data profile",open,"Require profile/exclusions/exposure/denominator on every claim",medium,no
F026,research,active doctrine,high,exposure contamination gap,adaptive inference not safe without per-card exposure state,"docs/tightened_docs/12_intervention_exposure_risks.md","No adaptive inference should proceed before this is implemented",open,"Block adaptive learning from insights/archetype/prediction surfaces until exposure linkage exists",high,no
F027,research,active doctrine,medium,confidence taxonomy conflict,cold_start/tentative/confirmed conflicts with low/medium/high,"docs/calibration_contract.md; docs/tightened_docs/09_semantic_conflicts.md","cold_start/tentative/confirmed",open,"Define confidence semantics per surface and prefer sample-size tiers",medium,no
F028,trust,active doctrine,critical,hidden measurement language,academic substrate implies hidden measurement layer,"docs/academic_execution_substrate.md","Lyra becomes the hidden measurement layer",open,"Rewrite as visible, consented, user-controlled history",high,no
F029,trust,parked hypothesis,high,passive activity monitoring,docs describe observing scroll/tab/page activity,"docs/academic_execution_substrate.md; docs/academic_asset_velocity_and_evidence_fusion_plan.md","Lyra is observing this study session; Passive tracking may be used more",open,"Park passive telemetry; future opt-in activity evidence only",high,no
F030,trust,active doctrine,medium,operator dashboard ambiguity,admin/operator dashboard wording can imply user monitoring,"README.md; docs/professor_review_packet.md","admin dashboard; operator notifications",open,"Rename to local operator diagnostics and deny cohort/employer dashboards",medium,no
F031,trust,active doctrine,medium,interrogation framing,operator review docs use interrogation language,"docs/operator_interrogation_checklist.md","Operator Interrogation Checklist",open,"Rename to Instrument Integrity Review Checklist",low,no
F032,trust,active doctrine,medium,focus language mismatch,timer-derived executed duration is called focus minutes,"docs/cortex_product_research_contract_v0.md; frontend/lib/pulse-aggregations.ts","focus minutes",open,"Prefer active minutes; reserve focus for self-report",medium,no
F033,organization,historical,high,archive canonical conflict,archive summary says current while archive README says inactive,"archive/appstore/summary_of_app.md; archive/README.md; README.md; docs/architecture.md","reflects the current repo shape",open,"Promote to docs snapshot or demote all citations to historical",medium,no
